N;K;RS_GF;logic_elements;pins;registers;memory_bits;fmax
127;110;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );263.44
127;109;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );232.88
127;108;RS_GF_128;263 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );243.96
127;107;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );259.0
127;106;RS_GF_128;270 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );254.71
127;105;RS_GF_128;271 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );251.95
127;104;RS_GF_128;260 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );241.6
127;103;RS_GF_128;258 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );250.94
127;102;RS_GF_128;271 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );257.86
127;101;RS_GF_128;260 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );250.75
127;100;RS_GF_128;267 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );251.07
127;99;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );257.47
127;98;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );250.63
127;97;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );234.63
127;96;RS_GF_128;264 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );251.26
127;95;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );148;2,674 / 276,480 ( < 1 % );252.08
127;94;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );237.3
127;93;RS_GF_128;266 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );246.79
127;92;RS_GF_128;271 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );250.56
127;91;RS_GF_128;272 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );248.2
127;90;RS_GF_128;267 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );232.4
127;89;RS_GF_128;260 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );252.46
127;88;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );247.22
127;87;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );244.32
127;86;RS_GF_128;272 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );252.78
127;85;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );239.46
127;84;RS_GF_128;264 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );241.14
127;83;RS_GF_128;266 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );250.75
127;82;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );239.58
127;81;RS_GF_128;270 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );239.41
127;80;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );251.57
127;79;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );249.81
127;78;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );258.46
127;77;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );242.6
127;76;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );238.89
127;75;RS_GF_128;272 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );249.56
127;74;RS_GF_128;270 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );249.56
127;73;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );247.89
127;72;RS_GF_128;264 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );240.67
127;71;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );238.04
127;70;RS_GF_128;277 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );249.75
127;69;RS_GF_128;273 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );255.49
127;68;RS_GF_128;270 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );237.98
127;67;RS_GF_128;269 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );244.74
127;66;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );252.65
127;65;RS_GF_128;265 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );248.26
127;64;RS_GF_128;268 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );248.39
127;63;RS_GF_128;276 / 6,272 ( 4 % );24 / 92 ( 26 % );149;2,674 / 276,480 ( < 1 % );243.43
255;253;RS_GF_256;1,016 / 6,272 ( 16 % );26 / 92 ( 28 % );295;6,128 / 276,480 ( 2 % );166.2
255;252;RS_GF_256;1,056 / 6,272 ( 17 % );26 / 92 ( 28 % );329;6,128 / 276,480 ( 2 % );158.35
255;251;RS_GF_256;1,304 / 6,272 ( 21 % );26 / 92 ( 28 % );434;6,128 / 276,480 ( 2 % );105.89
255;250;RS_GF_256;1,351 / 6,272 ( 22 % );26 / 92 ( 28 % );467;6,128 / 276,480 ( 2 % );111.48
255;249;RS_GF_256;1,545 / 6,272 ( 25 % );26 / 92 ( 28 % );563;6,128 / 276,480 ( 2 % );107.28
255;248;RS_GF_256;1,580 / 6,272 ( 25 % );26 / 92 ( 28 % );595;6,128 / 276,480 ( 2 % );110.39
255;247;RS_GF_256;1,763 / 6,272 ( 28 % );26 / 92 ( 28 % );692;6,128 / 276,480 ( 2 % );109.27
255;246;RS_GF_256;1,806 / 6,272 ( 29 % );26 / 92 ( 28 % );725;6,128 / 276,480 ( 2 % );110.33
255;245;RS_GF_256;1,991 / 6,272 ( 32 % );26 / 92 ( 28 % );821;6,128 / 276,480 ( 2 % );103.5
255;244;RS_GF_256;2,047 / 6,272 ( 33 % );26 / 92 ( 28 % );853;6,128 / 276,480 ( 2 % );105.01
255;243;RS_GF_256;2,217 / 6,272 ( 35 % );26 / 92 ( 28 % );949;6,128 / 276,480 ( 2 % );105.36
255;242;RS_GF_256;2,270 / 6,272 ( 36 % );26 / 92 ( 28 % );981;6,128 / 276,480 ( 2 % );103.19
255;241;RS_GF_256;2,465 / 6,272 ( 39 % );26 / 92 ( 28 % );1077;6,128 / 276,480 ( 2 % );99.05
