target_post_BER,input_preFEC_BER,n,k,m,t,rate,post_ber_est,note
1e-30,3.1622776601683795e-09,522,512,8,5,0.9808429118773946,4.1129426199380685e-35,
1e-30,1e-09,520,512,8,4,0.9846153846153847,4.896035600733545e-32,
1e-30,3.1622776601683795e-10,520,512,8,4,0.9846153846153847,1.5482647540777064e-34,
1e-30,1e-10,520,512,8,4,0.9846153846153847,4.89605284220796e-37,
1e-30,3.1622776601683794e-11,518,512,8,3,0.9884169884169884,4.689518666924521e-32,
1e-30,1e-11,518,512,8,3,0.9884169884169884,4.689497471421099e-34,
1e-30,3.1622776601683794e-12,518,512,8,3,0.9884169884169884,4.6893215124526334e-36,
1e-30,1e-12,518,512,8,3,0.9884169884169884,4.6890811044330463e-38,
1e-30,3.162277660168379e-13,518,512,8,3,0.9884169884169884,4.687346236091444e-40,
1e-30,1e-13,516,512,8,2,0.9922480620155039,3.3914496975246805e-32,
1e-30,3.1622776601683796e-14,516,512,8,2,0.9922480620155039,1.0733604456919273e-33,
1e-30,1e-14,516,512,8,2,0.9922480620155039,3.380169941437315e-35,
1e-30,3.1622776601683794e-15,516,512,8,2,0.9922480620155039,1.0178530940443108e-36,
