tech,BER Target,input_preFEC_BER,n,t,rate,energy,p_correctable
ASAP7,1e-30,9.999999999999999e-19,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-30,3.162277660168379e-18,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-30,1e-17,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-30,3.162277660168379e-17,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-30,1e-16,516,2,0.9922480620155039,0.04895064990301799,4.583000645650259e-13
ASAP7,1e-30,3.1622776601683793e-16,516,2,0.9922480620155039,0.04895064990436647,1.374900193694448e-12
ASAP7,1e-30,1e-15,516,2,0.9922480620155039,0.04895064990841191,4.124700581077696e-12
ASAP7,1e-30,3.1622776601683794e-15,516,2,0.9922480620155039,0.04895064992122246,1.2832401807741523e-11
ASAP7,1e-30,1e-14,516,2,0.9922480620155039,0.0489506499630253,4.124700581001272e-11
ASAP7,1e-30,3.1622776601683796e-14,516,2,0.9922480620155039,0.048950650094501974,1.3061551839254884e-10
ASAP7,1e-30,1e-13,516,2,0.9922480620155039,0.048950650509833424,4.1292835808809374e-10
ASAP7,1e-30,3.162277660168379e-13,518,3,0.9884169884169884,0.06974429467190917,1.3102976473026006e-09
ASAP7,1e-30,1e-12,518,3,0.9884169884169884,0.06974429893587886,4.143908319018911e-09
ASAP7,1e-30,3.162277660168379e-12,518,3,0.9884169884169884,0.06974431241941079,1.3104356625161735e-08
ASAP7,1e-30,1e-11,518,3,0.9884169884169884,0.0697443550584143,4.144000257174683e-08
ASAP7,1e-30,3.162277660168379e-11,518,3,0.9884169884169884,0.06974448989441545,1.3104493876803207e-07
ASAP7,1e-30,9.999999999999999e-11,520,4,0.9846153846153847,0.09265994056740139,4.159999480582807e-07
ASAP7,1e-30,3.162277660168379e-10,520,4,0.9846153846153847,0.09266131973808,1.3155064128291287e-06
ASAP7,1e-30,9.999999999999999e-10,520,4,0.9846153846153847,0.09266568105201337,4.1599912461984604e-06
ASAP7,1e-30,3.162277660168379e-09,522,5,0.9808429118773946,0.1167333982628577,1.3205584314986571e-05
ASAP7,1e-30,1e-08,522,5,0.9808429118773946,0.11677820677624423,4.1759128494713985e-05
ASAP7,1e-30,3.162277660168379e-08,524,6,0.9770992366412213,0.14163974748811692,0.00013255389565265256
ASAP7,1e-30,1e-07,526,7,0.973384030418251,0.16482784883150914,0.00042071149690777024
ASAP7,1e-30,3.162277660168379e-07,528,8,0.9696969696969697,0.1925336958478178,0.0013348545826742983
ASAP7,1e-30,1e-06,530,9,0.9660377358490566,0.22193421042528352,0.004231026001872238
ASAP7,1e-30,3.162277660168379e-06,532,10,0.9624060150375939,0.2644484453553833,0.013368511980185216
ASAP7,1e-30,9.999999999999999e-06,538,13,0.9516728624535316,0.3934194508805241,0.0421271317576659
ASAP7,1e-30,3.1622776601683795e-05,544,16,0.9411764705882353,0.6524312210738695,0.12857414911547055
ASAP7,1e-30,9.999999999999999e-05,554,21,0.924187725631769,1.3326001214225731,0.35803542855332443
ASAP7,1e-30,0.00031622776601683794,570,29,0.8982456140350877,2.7619825475957978,0.7635992122346854
ASAP7,1e-30,0.001,602,45,0.8504983388704319,4.642962931127011,0.9919203732879902
ASAP7,1e-15,9.999999999999999e-31,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.1622776601683794e-30,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1e-29,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,3.162277660168379e-29,514,1,0.9961089494163424,0.026732630517578126,0.0
ASAP7,1e-15,1.0000000000000001e-28,514,1,0.9961089494163424,0.026732630517578126,0.0
