tech,target_post_BER,input_preFEC_BER,n,rate,clk_ns,area_total_um2,area_total_mm2,throughput_gbps,area_per_gbps
ASAP7,1e-15,9.999999999999999e-10,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-15,3.162277660168379e-09,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-15,1e-08,516.0,0.9922480620155039,1.55,8619.214634,0.008619214634,2.5606401600400095,0.003366038996227149
ASAP7,1e-15,3.162277660168379e-08,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-15,1e-07,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-15,3.162277660168379e-07,518.0,0.9884169884169884,1.55,8807.515331999999,0.008807515331999999,2.550753518495454,0.0034529072558900386
ASAP7,1e-15,1e-06,520.0,0.9846153846153847,1.55,9001.939628,0.009001939628,2.540942928039702,0.0035427555371914067
ASAP7,1e-15,3.162277660168379e-06,522.0,0.9808429118773946,1.55,9200.038086,0.009200038086000001,2.5312075145223085,0.003634643952823536
ASAP7,1e-15,9.999999999999999e-06,524.0,0.9770992366412213,1.55,9394.491542,0.009394491542,2.521546417138635,0.003725686538287306
ASAP7,1e-15,3.1622776601683795e-05,528.0,0.9696969696969697,1.55,9791.636158000001,0.009791636158000001,2.502443792766373,0.003912829605325782
ASAP7,1e-15,9.999999999999999e-05,534.0,0.9588014981273408,1.55,10399.009789,0.010399009789,2.4743264467802337,0.004202763868337549
ASAP7,1e-15,0.00031622776601683794,546.0,0.9377289377289377,1.55,11563.310252,0.011563310252,2.419945645752097,0.004778334700325977
ASAP7,1e-15,0.001,568.0,0.9014084507042254,1.55,13684.846022,0.013684846022,2.326215356656065,0.005882880096566798
NanGate45,1e-30,9.999999999999999e-31,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683794e-30,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-29,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.162277660168379e-29,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1.0000000000000001e-28,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.162277660168379e-28,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-27,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683794e-27,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,9.999999999999999e-27,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.162277660168379e-26,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-25,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683796e-25,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-24,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683795e-24,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-23,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683793e-23,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,9.999999999999999e-23,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683793e-22,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-21,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683792e-21,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1.0000000000000001e-20,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.162277660168379e-20,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-19,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.1622776601683796e-19,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,9.999999999999999e-19,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.162277660168379e-18,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-17,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,3.162277660168379e-17,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-30,1e-16,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,3.1622776601683793e-16,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,1e-15,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,3.1622776601683794e-15,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,1e-14,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,3.1622776601683796e-14,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,1e-13,516.0,0.9922480620155039,2.6,132428.097148,0.132428097148,1.5265354800238522,0.08675074957702968
NanGate45,1e-30,3.162277660168379e-13,518.0,0.9884169884169884,2.6,135041.54712399998,0.135041547124,1.5206415206415205,0.08880564241533359
NanGate45,1e-30,1e-12,518.0,0.9884169884169884,2.6,135041.54712399998,0.135041547124,1.5206415206415205,0.08880564241533359
NanGate45,1e-30,3.162277660168379e-12,518.0,0.9884169884169884,2.6,135041.54712399998,0.135041547124,1.5206415206415205,0.08880564241533359
NanGate45,1e-30,1e-11,518.0,0.9884169884169884,2.6,135041.54712399998,0.135041547124,1.5206415206415205,0.08880564241533359
NanGate45,1e-30,3.162277660168379e-11,518.0,0.9884169884169884,2.6,135041.54712399998,0.135041547124,1.5206415206415205,0.08880564241533359
NanGate45,1e-30,9.999999999999999e-11,520.0,0.9846153846153847,2.6,137739.319097,0.137739319097,1.514792899408284,0.0909294723726289
NanGate45,1e-30,3.162277660168379e-10,520.0,0.9846153846153847,2.6,137739.319097,0.137739319097,1.514792899408284,0.0909294723726289
NanGate45,1e-30,9.999999999999999e-10,520.0,0.9846153846153847,2.6,137739.319097,0.137739319097,1.514792899408284,0.0909294723726289
NanGate45,1e-30,3.162277660168379e-09,522.0,0.9808429118773946,2.6,140439.219071,0.140439219071,1.5089890951959914,0.09306841216951231
NanGate45,1e-30,1e-08,522.0,0.9808429118773946,2.6,140439.219071,0.140439219071,1.5089890951959914,0.09306841216951231
NanGate45,1e-30,3.162277660168379e-08,524.0,0.9770992366412213,2.6,143143.37504699998,0.14314337504699998,1.503229594832648,0.09522389363478165
NanGate45,1e-30,1e-07,526.0,0.973384030418251,2.6,145790.607024,0.14579060702399999,1.4975138929511551,0.09735509480762813
NanGate45,1e-30,3.162277660168379e-07,528.0,0.9696969696969697,2.6,148652.766989,0.14865276698899998,1.4918414918414917,0.09964380787231406
NanGate45,1e-30,1e-06,530.0,0.9660377358490566,2.6,151490.98695700002,0.15149098695700003,1.4862119013062407,0.10193094727868461
NanGate45,1e-30,3.162277660168379e-06,532.0,0.9624060150375939,2.6,154175.724934,0.154175724934,1.4806246385193753,0.10412883922300235
NanGate45,1e-30,9.999999999999999e-06,538.0,0.9516728624535316,2.6,161973.514867,0.16197351486699998,1.4641120960823562,0.1106291760722459
NanGate45,1e-30,3.1622776601683795e-05,544.0,0.9411764705882353,2.6,170256.488782,0.170256488782,1.4479638009049773,0.11758338756506875
NanGate45,1e-30,9.999999999999999e-05,554.0,0.924187725631769,2.6,183746.146632,0.18374614663199998,1.4218272702027213,0.12923239726988905
NanGate45,1e-30,0.00031622776601683794,570.0,0.8982456140350877,4.0,204521.012457,0.204521012457,0.8982456140350877,0.22768940839939453
NanGate45,1e-30,0.001,602.0,0.8504983388704319,4.0,247703.186036,0.247703186036,0.8504983388704319,0.29124476170639063
NanGate45,1e-15,9.999999999999999e-31,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,3.1622776601683794e-30,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,1e-29,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,3.162277660168379e-29,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,1.0000000000000001e-28,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,3.162277660168379e-28,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,1e-27,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,3.1622776601683794e-27,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,9.999999999999999e-27,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,3.162277660168379e-26,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
NanGate45,1e-15,1e-25,514.0,0.9961089494163424,2.6,129766.76715300001,0.129766767153,1.5324753067943728,0.08467788458167443
